"Name","Speed","FileName","ExportName","RedExportName","ShadowExportName","RedShadowExportName","ShadowDisableRotate","Homing","HitEffect","DeathEffect","Damage","CrownTowerDamagePercent","Pushback","Radius","RadiusY","AoeToAir","AoeToGround","DamageType","OnlyEnemies","OnlyOwnTroops","MaximumTargets","Gravity","SpawnAreaEffectObject","SpawnCharacterLevelIndex","SpawnCharacterDeployTime","SpawnCharacter","SpawnCharacterCount","TargetBuff","BuffTime","BuffTimeIncreasePerLevel","TrailEffect","ProjectileRadius","ProjectileRadiusY","ProjectileRange","use360Frames","HitSoundWhenParentAlive","SpawnProjectile","MinDistance","HeightFromTargetRadius"
"string","int","string","string","string","string","string","boolean","boolean","string","String","int","int","int","int","int","boolean","boolean","string","boolean","boolean","int","int","string","int","int","string","int","string","int","int","string","int","int","int","boolean","String","String","int","boolean"
"FireballSpell",600,"sc/effects.sc","fireball_projectile1",,"projectile_arrow_shadow",,,,"Fireball_explosion",,325,-60,1800,2500,,"true","true",,"true",,,50,,,,,,,,,"FireballEmitter",,,,,,,,
"KingProjectile",1000,"sc/effects.sc","projectile_cannonball_small",,,,,"true","cannon_hit",,50,,,,,,,,"true",,,50,,,,,,,,,,,,,,,,,
"ArcherArrow",400,"sc/effects.sc","projectile_arrow_basic_enemy",,"projectile_arrow_shadow",,,"true","ArrowHit",,40,,,,,,,,"true",,,60,,,,,,,,,,,,,,,,,
"TowerPrincessProjectile",400,"sc/effects.sc","projectile_arrow_basic_enemy",,"projectile_arrow_shadow",,,"true","ArrowHit",,50,,,,,,,,"true",,,60,,,,,,,,,,,,,,,,,
"ArrowsSpell",600,"sc/effects.sc","projectile_arrow_basic_enemy",,"projectile_arrow_shadow",,,"true","ArrowHitGround",,115,-60,,4000,,"true","true",,"true",,,50,,,,,,,,,,,,,,,,,
"ArrowsSpellDeco",600,"sc/effects.sc","projectile_arrow_basic_enemy",,"projectile_arrow_shadow",,,"true","ArrowHitGround",,,,,,,"true","true",,"true",,,50,,,,,,,,,,,,,,,,,
"TowerCannonball",1000,"sc/effects.sc","projectile_cannonball_large",,"projectile_arrow_shadow",,,"true","cannon_hit",,60,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,
"MinionSpit",1000,"sc/effects.sc","projectile_cannonball_small",,"projectile_arrow_shadow",,,"true","ArrowHit",,40,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,
"MortarProjectile",300,"sc/effects.sc","catapult_projectile1",,"projectile_arrow_shadow",,,,"mortar_hit",,108,,,1800,,,"true",,"true",,,60,,,,,,,,,,,,,,,,,
"WitchProjectile",600,"sc/effects.sc","Tower_projectile1",,,,,"true","WizardProjectileHit",,49,,,1000,,"true","true",,"true",,,,,,,,,,,,,,,,,,,,
"BombSkeletonProjectile",300,"sc/effects.sc","projectile_bomb",,"projectile_arrow_shadow",,,,"BombTower_projectile_hit",,120,,,1500,,,"true",,"true",,,200,,,,,,,,,"BomberBomb_fire_emitter",,,,,,,,
"BombTowerProjectile",300,"sc/effects.sc","projectile_bomb",,"projectile_arrow_shadow",,,,"BombTower_projectile_hit",,100,,,1500,,,"true",,"true",,,200,,,,,,,,,"BomberBomb_fire_emitter",,,,,,,,
"RocketSpell",350,"sc/effects.sc","projectile_rocket",,"projectile_shadow_rocket",,,,"Rocket_explosion",,700,-60,1800,2000,,"true","true",,"true",,,50,,,,,,,,,"Rocket_Emitter",,,,"true",,,,
"GoblinBarrelSpell",400,"sc/spell_goblin_barrel.sc","spell_goblin_barrel_projectile",,"Barrel_shadow",,,,"goblin_barrel_explosion",,,,,1500,,,"true",,"true",,,40,,5,1200,"Goblin",3,,,,,,,,,,,,
"MusketeerProjectile",1000,"sc/effects.sc","projectile_cannonball_small",,"projectile_arrow_shadow",,,"true","cannon_hit",,100,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,
"BabyDragonProjectile",500,"sc/effects.sc","dragon_projectile",,"projectile_arrow_shadow",,,"true","dragon_hit",,100,,,1200,,"true","true",,"true",,,250,,,,,,,,,"Dragon_Emitter",,,,,,,,
"chr_wizardProjectile",600,"sc/effects.sc","fireball_small",,,,,"true","chr_wizard_projectile_hit",,130,,,1200,,"true","true",,"true",,,,,,,,,,,,,,,,,,,,
"xbow_projectile",1400,"sc/effects.sc","projectile_arrow_basic",,"projectile_arrow_shadow",,,"true","ArrowHit",,20,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,
"LighningSpell",500,,,,,,,,"Spell_lightning_effect",,650,-60,,,,,,,"true",,,,,,,,,,,,,,,,,,,,
"SpearGoblinProjectile",350,"sc/effects.sc","projectile_spear_360",,"projectile_arrow_shadow",,,"true","spear_goblin_projectile_hit",,24,,,,,,,,"true",,,150,,,,,,,,,,,,,"true",,,,
"ice_wizardProjectile",700,"sc/effects.sc","ice_wizard_projectile",,,,,"true","ice_wizard_hit",,63,,,1000,,"true","true",,"true",,,50,,,,,,"IceWizardSlowDown",2000,,"ice_wiz_emitter",,,,,,,,
"RoyalGiantProjectile",1000,"sc/effects.sc","projectile_cannonball_large",,"projectile_arrow_shadow",,,"true","royal_giant_projectile_hit",,75,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,
"PrincessProjectile",400,"sc/effects.sc","projectile_princess",,"projectile_arrow_shadow",,,,"PrincessArrowHitGround",,140,,,2500,,"true","true",,"true",,,90,,,,,,,,,"PrincessArrowProjectileEmitter",,,,,"sound_princess_hit_vo",,,
"PrincessProjectileDeco",400,"sc/effects.sc","projectile_princess",,"projectile_arrow_shadow",,,,"PrincessArrowHitGround",,,,,,,,,,"true",,,90,,,,,,,,,"PrincessArrowProjectileEmitter",,,,,,,,
"LavaHoundProjectile",400,"sc/effects.sc","particle_coal1",,"projectile_arrow_shadow",,,"true","lava_hound_projectile_hit",,45,,,,,"true","true",,"true",,,250,,,,,,,,,"lava_hound_Emitter",,,,,,,,
"LavaPupProjectile",500,"sc/effects.sc","particle_coal1",,"projectile_arrow_shadow",,,"true","lava_pups_projectile_hit",,45,,,,,"true","true",,"true",,,250,,,,,,,,,"lava_pups_emitter",,,,,,,,
"FireSpiritsProjectile",400,"sc/effects.sc","projectile_firespirit",,"projectile_arrow_shadow",,,"true","firespirit_projectile_hit",,80,,,1500,,"true","true",,"true",,,400,,,,,,,,,"PrincessArrowProjectileEmitter",,,,"true",,,,
"ZapMachineProjectile",1400,"sc/effects.sc","zapMachine_projectile",,,,,"true","zapmachine_projectile_hit",,1300,,,1800,,,"true",,"true",,,,,,,,,,,,"zapMachine_trail_emitter",,,,,,,,
"BowlerProjectile2",300,"sc/effects.sc","bowler_projectile",,"bowler_projectile_shadow",,"true",,,,200,,,1800,,,"true",,"true",,,200,,,,,,,,,,,,,,,"BowlerProjectile",1800,"true"
"BowlerProjectile",170,"sc/effects.sc","bowler_projectile",,"bowler_projectile_shadow",,"true",,,"bowler_projectile_die",200,,1000,1800,,,"true",,"true",,,,,,,,,,,,"bowler_projectile_trail",1000,,6000,,,,,
"IceSpiritsProjectile",400,"sc/effects.sc","projectile_icespirit",,"projectile_arrow_shadow",,,"true","icespirit_projectile_hit",,50,,,1500,,"true","true",,"true",,,400,,,,,,"Freeze",2000,,"ice_wiz_emitter",,,,"true",,,,
"LogProjectile",180,"sc/effects.sc","log_projectile",,"log_projectile_shadow",,,,"log_hit",,,,,1950,600,,"true",,"true",,,30,,,,,,,,,"log_emitter",,,,,,"LogProjectileRolling",3000,
"LogProjectileRolling",140,"sc/effects.sc","log_roll_projectile","log_roll_projectile_red","log_projectile_shadow",,,,"log_hit","log_die",240,-60,1500,,,,"true",,"true",,,,,,,,,,,,"log_emitter",1950,600,9600,,,,2500,
